BHP,11-02-2011, ,93.11,94.26,92.9,93.72,1741900
BHP,14-02-2011, ,94.57,96.23,94.39,95.64,2620800
BHP,15-02-2011, ,94.45,95.47,93.91,94.56,2461300
BHP,16-02-2011, ,92.67,93.58,92.56,93.3,3270900
BHP,17-02-2011, ,92.65,93.98,92.58,93.93,2650200
BHP,18-02-2011, ,92.34,93,92,92.39,4667300
BHP,22-02-2011, ,93.14,93.98,91.75,92.11,5359800
BHP,23-02-2011, ,91.93,92.46,91.05,92.36,7768400
BHP,24-02-2011, ,92.42,92.71,90.93,91.76,4799100
BHP,25-02-2011, ,93.48,94.04,92.44,93.91,3448300
BHP,28-02-2011, ,94.81,95.11,94.1,94.6,4719800
BHP,01-03-2011, ,95.05,95.2,93.13,93.27,3898900
BHP,02-03-2011, ,93.89,94.89,93.54,94.43,3727700
BHP,03-03-2011, ,95.9,96.11,95.18,96.02,3379400
BHP,04-03-2011, ,96.12,96.44,95.08,95.76,2463900
BHP,07-03-2011, ,96.51,96.66,94.03,94.47,3590900
BHP,08-03-2011, ,93.72,94.47,92.9,94.34,3805000
BHP,09-03-2011, ,92.94,93.13,91.86,92.22,3271700
BHP,10-03-2011, ,89,89.17,87.93,88.31,5507800
BHP,11-03-2011, ,88.24,89.8,88.16,89.59,2996800
BHP,14-03-2011, ,88.17,89.06,87.82,89.02,3434800
BHP,15-03-2011, ,84.58,87.32,84.35,86.95,5008300
BHP,16-03-2011, ,86.31,87.28,83.85,84.88,7809799
BHP,17-03-2011, ,87.32,88.29,86.89,87.38,3947100
BHP,18-03-2011, ,89.53,89.58,88.05,88.56,3809700
BHP,21-03-2011, ,90.13,90.16,88.88,89.59,3098200
BHP,22-03-2011, ,89.5,89.59,88.42,88.71,3500200
BHP,23-03-2011, ,89.57,90.32,88.85,90.02,4285600
BHP,24-03-2011, ,90.86,91.35,89.7,91.26,3918800
BHP,25-03-2011, ,90.42,91.09,90.07,90.67,3632200
